Year,Actor,Role(s),Film,Ref.
2021,Mahershala Ali,Cameron Turner,Swan Song,
2021,Javier Bardem,Desi Arnaz,Being the Ricardos,
2021,Benedict Cumberbatch,Phil Burbank,The Power of the Dog,
2021,Denzel Washington,Lord Macbeth,The Tragedy of Macbeth,
2022,Austin Butler,Elvis Presley,Elvis,
2022,Brendan Fraser,Charlie,The Whale,
2022,Hugh Jackman,Peter Miller,The Son,
2022,Bill Nighy,Mr. Williams,Living,
2022,Jeremy Pope,Ellis French,The Inspection,
2023,Cillian Murphy,J. Robert Oppenheimer,Oppenheimer,
2023,Bradley Cooper,Leonard Bernstein,Maestro,
2023,Leonardo DiCaprio,Ernest Burkhart,Killers of the Flower Moon,
2023,Colman Domingo,Bayard Rustin,Rustin,
2023,Barry Keoghan,Oliver Quick,Saltburn,
2023,Andrew Scott,Adam,All of Us Strangers,
2024,Adrien Brody,László Tóth,The Brutalist,
2024,Timothée Chalamet,Bob Dylan,A Complete Unknown,
2024,Daniel Craig,William Lee,Queer,
2024,Colman Domingo,"John ""Divine G"" Whitfield",Sing Sing,
2024,Ralph Fiennes,Thomas Cardinal Lawrence,Conclave,
2024,Sebastian Stan,Donald Trump,The Apprentice,
