Year,Actor,Role(s),Film
2014,Bill Murray,Vincent MacKenna,St. Vincent
2014,Joaquin Phoenix,"Larry ""Doc"" Sportello",Inherent Vice
2014,Christoph Waltz,Walter Keane,Big Eyes
2015,Matt Damon,Mark Watney,The Martian
2015,Christian Bale,Michael Burry,The Big Short
2015,Steve Carell,Mark Baum,
2015,Al Pacino,Danny Collins,Danny Collins
2015,Mark Ruffalo,Cameron Stuart,Infinitely Polar Bear
2016,Ryan Gosling,Sebastian Wilder,La La Land
2016,Colin Farrell,David Matthews,The Lobster
2016,Hugh Grant,St. Clair Bayfield,Florence Foster Jenkins
2016,Jonah Hill,Efraim Diveroli,War Dogs
2016,Ryan Reynolds,Wade Wilson / Deadpool,Deadpool
2017,James Franco,Tommy Wiseau,The Disaster Artist
2017,Steve Carell,Bobby Riggs,Battle of the Sexes
2017,Ansel Elgort,"Miles ""Baby""",Baby Driver
2017,Hugh Jackman,P. T. Barnum,The Greatest Showman
2017,Daniel Kaluuya,Chris Washington,Get Out
2018,Christian Bale,Dick Cheney,Vice
2018,Lin-Manuel Miranda,Jack,Mary Poppins Returns
2018,Viggo Mortensen,"Frank ""Tony Lip"" Vallelonga",Green Book
2018,Robert Redford,Forrest Tucker,The Old Man & the Gun
2018,John C. Reilly,Oliver Hardy,Stan & Ollie
2019,Taron Egerton,Elton John,Rocketman
2019,Daniel Craig,Benoit Blanc,Knives Out
2019,Roman Griffin Davis,"Johannes ""Jojo"" Betzler",Jojo Rabbit
2019,Leonardo DiCaprio,Rick Dalton,Once Upon a Time in Hollywood
2019,Eddie Murphy,Rudy Ray Moore,Dolemite Is My Name
2020,Sacha Baron Cohen,Borat Sagdiyev,Borat Subsequent Moviefilm
2020,James Corden,Barry Glickman,The Prom
2020,Lin-Manuel Miranda,Alexander Hamilton,Hamilton
2020,Dev Patel,David Copperfield,The Personal History of David Copperfield
2020,Andy Samberg,Nyles,Palm Springs
2021,Andrew Garfield,Jonathan Larson,"Tick, Tick... Boom!"
2021,Leonardo DiCaprio,Randall Mindy,Don't Look Up
2021,Peter Dinklage,Cyrano de Bergerac,Cyrano
2021,Cooper Hoffman,Gary Valentine,Licorice Pizza
2021,Anthony Ramos,Usnavi de la Vega,In the Heights
2022,Colin Farrell,Pádraic Súilleabháin,The Banshees of Inisherin
2022,Diego Calva,Manny Torres,Babylon
2022,Daniel Craig,Benoit Blanc,Glass Onion: A Knives Out Mystery
2022,Adam Driver,Jack Gladney,White Noise
2022,Ralph Fiennes,Julian Slowik,The Menu
2023,Paul Giamatti,Paul Hunham,The Holdovers
2023,Nicolas Cage,Dr. Paul Matthews,Dream Scenario
2023,Timothée Chalamet,Willy Wonka,Wonka
2023,Matt Damon,Sonny Vaccaro,Air
2023,Joaquin Phoenix,Beau Wasserman,Beau Is Afraid
2023,Jeffrey Wright,"Thelonious ""Monk"" Ellis",American Fiction
2024,Sebastian Stan,Edward Lemuel / Guy Moratz,A Different Man
2024,Jesse Eisenberg,David Kaplan,A Real Pain
2024,Hugh Grant,Mr. Reed,Heretic
2024,Gabriel LaBelle,Lorne Michaels,Saturday Night
2024,Jesse Plemons,Robert Fletcher / Daniel / Andrew,Kinds of Kindness
2024,Glen Powell,Gary Johnson,Hit Man
